tax_id,seqname
866775,Aerococcus_urinae_ACS-120-V-Col10a|8667753
1376,Aerococcus_urinae_strain_CCUG36881|1376123
1377,Aerococcus_viridans_strain_CCUG4311|13773
1736325,Aeromicrobium_sp_Leaf291|17363253
1811530,Aeromicrobium_sp_REDSEA-S44_B1|18115303
1736498,Aeromicrobium_sp_Root236|17364983
648,Aeromonas_caviae_strain_YL12|64874
644,Aeromonas_hydrophila_strain_RB-AH|64434
654,Aeromonas_veronii_strain_ARB3|65412
1120954,Aestuariimicrobium_kwangyangense_DSM_21549|11209543
1317121,Aestuariivita_atlantica_strain_22II-S11-z3|13171217
1470562,Aestuariivita_boseongensis_strain_BS-B2|14705624
1120956,Afifella_pfennigii_DSM_17143|11209563
883078,Afipia_broomeae_ATCC_49717|8830783
1429916,Afipia_sp_P52-10|14299163
1736436,Afipia_sp_Root123D2|17364363
1331007,Agarivorans_albus_MKT_106|13310074
680279,Agarivorans_gilvus_strain_WH0801|6802793
668336,Aggregatibacter_actinomycetemcomitans_D11S-1|66833612
888057,Aggregatibacter_segnis_ATCC_33393|8880573
110935,Agreia_bicolorata_strain_VKM_Ac-1804|1109356
1736321,Agreia_sp_Leaf283|17363213
477195,Agrobacterium_sp_LY4|4771954
1300225,Agrobacterium_tumefaciens_WRT31|13002259
358,Agrobacterium_tumefaciens_strain_NCPPB_3001|35872
453304,Agromyces_sp_AR33|4533043
1736467,Agromyces_sp_Root1464|17364673
1736390,Agromyces_sp_Soil535|17363903
1514904,Ahrensia_sp_LZD062|15149043
744979,Ahrensia_sp_R2A130|7449794
1679444,Akkermansia_glycaniphila_strain_Pyt|16794443
349741,Akkermansia_muciniphila_ATCC_BAA-835|3497416
239935,Akkermansia_muciniphila_strain_YL44|23993516
511,Alcaligenes_faecalis_strain_NBIB-017|5119
1120962,Alcaligenes_faecalis_subsp_phenolicus_DSM_16503|11209623
1069631,Alcaligenes_sp_HPC1271|10696313
393595,Alcanivorax_borkumensis_SK2|39359515
1177181,Alcanivorax_jadensis_T9|11771813
1113728,Alcanivorax_sp_NBRC_101098|11137284
221126,Algibacter_lectus_JCM_19274|2211264
221126,Algibacter_lectus_JCM_19300|2211263
1736674,Algibacter_sp_HZ22|17366743
1120963,Algicola_sagamiensis_DSM_14643|11209633
1415780,Algiphilus_aromaticivorans_DG1253|14157803
1120965,Algoriphagus_mannitolivorans_DSM_15301|11209653
1727163,Algoriphagus_sp_M8-2|17271634
1120967,Algoriphagus_terrigena_DSM_22685|11209673
1120969,Aliagarivorans_marinus_DSM_23064|11209693
1120970,Aliagarivorans_taiwanensis_DSM_22990|11209703
596153,Alicycliphilus_denitrificans_BC|5961534
596154,Alicycliphilus_denitrificans_K601|5961543
1603291,Alicycliphilus_sp_B1|16032913
1048834,Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_Tc-4-1|10488344
1120971,Alicyclobacillus_contaminans_DSM_17975|11209713
1382304,Alicyclobacillus_macrosporangiidus_CPP55|13823043
1381123,Aliihoeflea_sp_2WW|13811233
154981,Aliiroseovarius_crassostreae_strain_CV919-312|1549813
668,Aliivibrio_fischeri_strain_5LC|66866
316275,Aliivibrio_salmonicida_LFI1238|31627515
80852,Aliivibrio_wodanis_strain_CL3|8085222
1197174,Alishewanella_aestuarii_B11|11971744
1195246,Alishewanella_agri_BL06|11952463
1651088,Alishewanella_sp_WH16-1|16510883
214856,Alistipes_finegoldii|2148564
717959,Alistipes_shahii_WAL_8301|7179593
1816676,Alistipes_sp_Marseille-P2431|18166763
1193119,Alkalibacillus_haloalkaliphilus_C5|11931193
1229520,Alkalibacterium_sp_AK22|12295203
927658,Alkaliflexus_imshenetskii_DSM_15055|9276584
293826,Alkaliphilus_metalliredigens_QYMF|2938266
350688,Alkaliphilus_oremlandii_OhILAs|3506885
1408422,Alkaliphilus_transvaalensis_ATCC_700919|14084223
1120977,Alkanindiges_illinoisensis_DSM_15370|11209773
1653480,Alloactinosynnema_sp_L-07|16534803
1050201,Allobaculum_stercoricanis_DSM_13633|10502013
572477,Allochromatium_vinosum_DSM_180|5724774
1120978,Allofustis_seminis_DSM_15817|11209783
883081,Alloiococcus_otitis_ATCC_51267|8830813
211114,Allokutzneria_albata_strain_NRRL_B-24461|2111143
679199,Alloprevotella_rava_F0323|6791993
1352348,Allosalinactinospora_lopnorensis_strain_CA15-2|13523483
1120979,Alloscardovia_omnicolens_DSM_21503|11209794
1321816,Alloscardovia_omnicolens_F0580|13218163
419015,Alloscardovia_omnicolens_strain_CMW7705A|4190153
1752192,Alphaproteobacteria_bacterium_Ga0077535|17521923
1655503,Alphaproteobacteria_bacterium_casp-alpha2|16555033
1658455,Alphaproteobacteria_bacterium_casp-alpha9|16584553
476157,Altererythrobacter_ishigakiensis_strain_NBRC_107699|4761573
645517,Altererythrobacter_namhicola_strain_JCM_16345|6455174
1736584,Altererythrobacter_sp_Root672|17365843
1304902,Alteromonadaceae_bacterium_Bs12|13049023
156578,Alteromonadales_bacterium_TW-7|1565783
28108,Alteromonas_macleodii_strain_D7|2810848
1777491,Alteromonas_sp_Mac1|17774913
715451,Alteromonas_sp_SN2|7154513
1223410,Altuibacter_lentus_strain_JL2010|12234103
1120980,Alysiella_crassa_DSM_2578|11209803
857265,Amantichitinum_ursilacus_strain_IGB-41|8572653
1304874,Aminiphilus_circumscriptus_DSM_16581|13048743
83263,Aminobacter_aminovorans_strain_KCTC_2477|832633
935261,Aminobacter_sp_J41|9352613
1736420,Aminobacter_sp_Root100|17364203
572547,Aminobacterium_colombiense_DSM_12261|5725473
1304875,Aminobacterium_mobile_DSM_12262|13048753
584708,Aminomonas_paucivorans_DSM_12260|5847083
429009,Ammonifex_degensii_KC4|4290093
1120983,Amorphus_coralli_DSM_19760|11209833
562743,Amphibacillus_jilinensis_Y1|5627434
1220586,Amphibacillus_sediminis_NBRC_103570|12205863
698758,Amphibacillus_xylanus_NBRC_15112|6987583
1278309,Amphritea_japonica_ATCC_BAA-1530|12783093
1125972,Amycolatopsis_alba_DSM_44262|11259723
1068978,Amycolatopsis_methanolica_239|10689783
1068979,Amycolatopsis_thermoflava_N1165|10689793
443218,Amycolicicoccus_subflavus_DQS3-9A1|4432183
272123,Anabaena_cylindrica_PCC_7122|2721233
46234,Anabaena_sp_90|462343
163908,Anabaena_sp_PCC_7108|1639083
1647413,Anabaena_sp_wa102|16474135
1120985,Anaeroarcus_burkinensis_DSM_6283|11209854
157733,Anaerobacillus_macyae_strain_DSM_16346|1577333
592015,Anaerobaculum_hydrogeniformans_ATCC_BAA-1850|5920155
891968,Anaerobaculum_mobile_DSM_13181|8919683
1120988,Anaerobiospirillum_succiniciproducens_DSM_6400|11209883
525919,Anaerococcus_prevotii_DSM_20548|5259196
1720199,Anaerococcus_sp_MT16|17201993
655811,Anaerococcus_vaginalis_ATCC_51170|6558114
445971,Anaerofustis_stercorihominis_DSM_17244|4459716
861450,Anaeroglobus_geminatus_F0357|8614503
229919,Anaerolinea_thermolimosa_strain_IMO-1|2299195
926569,Anaerolinea_thermophila_UNI-1|9265693
167964,Anaerolinea_thermophila_strain_46_16|1679644
1678840,Anaerolineaceae_bacterium_TC1|16788403
1120992,Anaeromusa_acidaminophila_DSM_3853|11209923
455488,Anaeromyxobacter_dehalogenans_2CP-1|4554885
290397,Anaeromyxobacter_dehalogenans_2CP-C|29039718
385682,Anaerophaga_sp_HS1|3856824
886379,Anaerophaga_thermohalophila_DSM_12881|8863794
1144273,Anaerophaga_thermohalophila_str_Valhall|11442733
1347392,Anaerosalibacter_sp_ND1|13473923
1794912,Anaerosporomusa_subterraneum_strain_RU4|17949123
649756,Anaerostipes_hadrus_strain_PEL_85|6497563
649756,Anaerostipes_hadrus|6497564
1262699,Anaerostipes_sp_CAG276|12626993
445972,Anaerotruncus_colihominis_DSM_17241|4459726
1262700,Anaerotruncus_sp_CAG528|12627003
1720200,Anaerotruncus_sp_MT15|17202003
1408423,Anaerovibrio_lipolyticus_LB2005|14084233
1120998,Anaerovorax_odorimutans_DSM_5092|11209983
574556,Anaplasma_centrale_str_Israel|5745564
320483,Anaplasma_marginale_str_Florida|3204833
1184253,Anaplasma_phagocytophilum_HZ2|11842533
1048983,Anditalea_andensis_strain_LY1|10489833
1120999,Andreprevotia_chitinilytica_DSM_18519|11209993
47500,Aneurinibacillus_migulanus_strain_DSM_2895|475009
1450761,Aneurinibacillus_sp_XH2|14507613
1121002,Aneurinibacillus_terranovensis_DSM_18919|11210024
1736539,Angustibacter_sp_Root456|17365393
294699,Anoxybacillus_amylolyticus_strain_DSM_15939|2946993
491915,Anoxybacillus_flavithermus_WK1|4919156
1490057,Anoxybacillus_sp_B7M1|14900573
1532906,Aphanizomenon_flos-aquae_2012KMD3|15329063
1710894,Aphanizomenon_flos-aquae_MDT13|17108943
284502,Aphanizomenon_flos-aquae_NIES-81|2845026
1574475,Aphanocapsa_montana_BDHKU210001|15744753
70584,Aquabacterium_parvum_strain_B6|705846
1538295,Aquabacterium_sp_NJ1|15382953
69279,Aquamicrobium_defluvii_strain_W13Z1|692793
1560338,Aquamicrobium_sp_SK-2|15603383
1121004,Aquaspirillum_serpens_DSM_68|11210044
224324,Aquifex_aeolicus_VF5|2243248
620914,Aquimarina_agarilytica_ZC1|6209143
1121006,Aquimarina_latercula_DSM_2041|11210063
1443666,Aquimarina_megaterium_strain_EL33|14436663
1317122,Aquimarina_sp_22II-S11-z7|13171227
391953,Aquincola_tertiaricarbonis_strain_MIMtkpLc11|3919537
332411,Aquitalea_magnusonii_strain_CCM_7607|3324115
332411,Aquitalea_magnusonii_strain_SM6|3324114
1293573,Aquitalea_pelogenes_strain_CCM_7557|12935733
644284,Arcanobacterium_haemolyticum_DSM_20595|6442843
28264,Arcanobacterium_haemolyticum_strain_64_AHAE|282645
1219585,Arcanobacterium_sp_S3PF19|12195853
877500,Arcobacter_anaerophilus_strain_IR-1|8775003
944546,Arcobacter_butzleri_ED-1|9445464
1150600,Arcticibacter_svalbardensis_MN12-7|11506003
872965,Ardenticatena_maritima_strain_110S|8729656
616991,Arenibacter_algicola_strain_TG409|6169913
1121011,Arenibacter_certesii_DSM_19833|11210113
1121012,Arenibacter_latericius_DSM_15913|11210123
1121013,Arenimonas_composti_DSM_18010|11210133
1121015,Arenimonas_oryziterrae_DSM_21050|11210153
1121016,Arhodomonas_aquaeolei_DSM_8974|11210163
1640515,Armatimonadetes_bacterium_CSP1-3|16405153
1617424,Armatimonadetes_bacterium_OLB18|16174243
76114,Aromatoleum_aromaticum_EbN1|761148
1121017,Arsenicicoccus_bolidensis_DSM_15745|11210173
1658671,Arsenicicoccus_sp_oral_taxon_190|16586713
1247024,Arsenophonus_endosymbiont_str_Hangzhou_of_Nilaparvata_lugens|12470244
1121018,Arsenophonus_nasoniae_DSM_15247|11210183
634113,Arsenophonus_symbiont_of_Lipoptena_fortisetosa|6341133
336831,Arsukibacterium_ikkense_strain_GCM72|33683114
1632859,Arsukibacterium_sp_MJ3|16328594
290399,Arthrobacter_sp_FB24|2903994
1743140,Arthrobacter_sp_RS66|17431403
1652545,Arthrobacter_sp_YC-RL1|16525454
121292,Arthrobacter_sulfonivorans_strain_Ar51|1212924
696747,Arthrospira_platensis_NIES-39|6967473
1738638,Arthrospira_platensis_YZ|17386383
1640536,Arthrospira_sp_TJSD091|16405363
1231624,Asaia_bogorensis_NBRC_16594|12316243
1382230,Asaia_platycodi_SF21|13822303
1236502,Asaia_prunellae_JCM_25354|12365025
322098,Aster_yellows_witches-broom_phytoplasma_AYWB|32209825
1121022,Asticcacaulis_benevestitus_DSM_16100__ATCC_BAA-896|11210223
573065,Asticcacaulis_excentricus_CB_48|5730656
1282363,Asticcacaulis_sp_YBE204|12823633
1336234,Atopobacter_phocae_ATCC_BAA-285|13362343
1393034,Atopobium_deltae_strain_DNF00019|13930343
1121023,Atopobium_fossor_DSM_15642|11210233
997872,Atopobium_minutum_10063974|9978723
521095,Atopobium_parvulum_DSM_20469|5210956
1121024,Atopococcus_tabaci_DSM_17538|11210243
287752,Aurantimonas_manganoxydans_SI85-9A1|2877523
1736378,Aurantimonas_sp_Leaf443|17363783
1349819,Aureimonas_sp_AU20|13498194
1736381,Aureimonas_sp_Leaf454|17363813
1313421,Aureispira_sp_CCB-QB1|13134214
728,Avibacterium_paragallinarum_strain_AVPG2015|72839
728,Avibacterium_paragallinarum_strain_CL|72838
62928,Azoarcus_sp_BH72|629288
198107,Azoarcus_sp_CIB|1981076
748247,Azoarcus_sp_KH32C|7482474
1121030,Azohydromonas_australica_DSM_1124|11210303
1314749,Azohydromonas_lata_NBRC_102462|13147493
1121032,Azonexus_hydrophilus_DSM_23864|11210323
438753,Azorhizobium_caulinodans_ORS_571|4387534
1038858,Azorhizobium_doebereinerae_UFLA1-100|10388583
1121034,Azospirillum_irakense_DSM_11586|11210343
528244,Azospirillum_thiophilum_strain_DSM_21654|5282443
1328314,Azotobacter_chroococcum_NCIMB_8003|13283144
1283331,Azotobacter_vinelandii_CA|12833303
322710,Azotobacter_vinelandii_DJ|3227105
1121035,Azovibrio_restrictus_DSM_23866|11210353
1123719,Bacillaceae_bacterium_MTCC_8252|11237193
1631346,Bacillaceae_bacterium_mt6|16313465
1632858,Bacillaceae_bacterium_mt8|16328583
1637974,Bacilli_bacterium_VT-13-104|16379744
326423,Bacillus_amyloliquefaciens_FZB42|3264235
1390,Bacillus_amyloliquefaciens_strain_S499|1390174
492670,Bacillus_velezensis_strain_SB1216|49267042
862908,Bacteriovorax_marinus_SJ|8629083
1201290,Bacteriovorax_sp_BAL6_X|12012903
1201288,Bacteriovorax_sp_Seq25_V|12012883
1688776,Bacteroidales_bacterium_6E|16887763
1674817,Bacteroidales_bacterium_Bact_03|16748173
1678841,Bacteroidales_bacterium_TBC1|16788413
997877,Bacteroides_dorei_CL03T12C01|9978775
862962,Bacteroides_fragilis_638R|8629623
1121099,Bacteroides_propionicifaciens_DSM_19291|11210993
1690483,Bacteroidetes_bacterium_UKL13-3|16904834
888054,Bacteroidetes_bacterium_oral_taxon_272_str_F0290|8880543
1697796,Bacteroidia_bacterium_UC51-2G11|16977963
1121103,Balneatrix_alpica_DSM_16621|11211033
1336243,Balneimonas_flocculans_ATCC_BAA-817|13362433
1121104,Balneola_vulgaris_DSM_17893|11211043
742726,Barnesiella_intestinihominis_YIT_11860|7427263
880074,Barnesiella_viscericola_DSM_18177|88007411
634504,Bartonella_grahamii_as4aup|6345043
38323,Bartonella_henselae_strain_BM1374163|383233
1094497,Bartonella_vinsonii_subsp_berkhoffii_str_Winnie|10944973
1072685,Basilea_psittacipulmonis_DSM_24701|10726854
235205,Bathymodiolus_azoricus_thioautotrophic_gill_symbiont|2352058
235205,Bathymodiolus_azoricus_thioautotrophic_gill_symbiont|2352059
374463,Baumannia_cicadellinicola_str_Hc_Homalodisca_coagulata|3744635
1121105,Bavariicoccus_seileri_DSM_19936|11211054
1069642,Bdellovibrio_bacteriovorus_str_Tiberius|10696423
959,Bdellovibrio_bacteriovorus_strain_109J|9593
1184267,Bdellovibrio_exovorus_JSS|11842673
1752196,Bdellovibrionales_bacterium_Ga0074139|17521963
395493,Beggiatoa_alba_B18LD|3954933
319938,Beggiatoa_leptomitiformis_strain_D-402|3199383
395963,Beijerinckia_indica_subsp_indica_ATCC_9039|39596313
231434,Beijerinckia_mobilis_strain_UQM_1969|2314343
866536,Belliella_baltica_DSM_15883|8665363
360411,Bellilinea_caldifistulae_strain_GOMI-1|3604115
1121106,Belnapia_moabensis_DSM_16746|11211063
1545443,Belnapia_sp_F-4-1|15454433
1349758,Bergeriella_denitrificans_NBRC_102155|13497583
883096,Bergeyella_zoohelcum_ATCC_43767|8830963
883098,Bergeyella_zoohelcum_CCUG_30536|8830983
1408164,Betaproteobacteria_bacterium_MOLA814|14081643
1690485,Betaproteobacteria_bacterium_UKL13-2|16904854
471853,Beutenbergia_cavernae_DSM_12333|4718535
394098,Bhargavaea_cecembensis_B-C2|3940985
1235279,Bhargavaea_cecembensis_DSE10|12352793
394098,Bhargavaea_cecembensis_strain_T14|3940986
