"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","below_below_below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","below_below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","subfamily","tribe","genus","below_genus","subgenus","species_group","species_subgroup","species","below_species","below_below_species","below_below_below_species","subspecies","below_subspecies"
"2006","147067","species","Thermobispora bispora","1","131567","2","1783272","","","","","201174","","","","1760","1643818","","","","","","","","","","","","","","147067","","","","","2006","","","","",""
"53422","150333","species","Thermobrachium celere","1","131567","2","1783272","","","","","1239","","","","186801","","","","","186802","","","","31979","","","","","","150333","","","","","53422","","","","",""
"136094","75905","species","Thermocrinis albus","1","131567","2","","","","","","200783","","","","187857","","","","","32069","","","","64898","","","","","","75905","","","","","136094","","","","",""
"75906","75905","species","Thermocrinis ruber","1","131567","2","","","","","","200783","","","","187857","","","","","32069","","","","64898","","","","","","75905","","","","","75906","","","","",""
"1313265","75905","species","Thermocrinis sp. GBS","1","131567","2","","","","","","200783","","","","187857","","","","","32069","","","","64898","","","","","","75905","","","","","1313265","","","","",""
"37925","37924","species","Thermocrispum agreste","1","131567","2","1783272","","","","","201174","","","","1760","","","","","85010","","","","2070","","","","","","37924","","","","","37925","","","","",""
"37926","37924","species","Thermocrispum municipale","1","131567","2","1783272","","","","","201174","","","","1760","","","","","85010","","","","2070","","","","","","37924","","","","","37926","","","","",""
"501497","241192","species","Thermodesulfatator atlanticus","1","131567","2","","","","","","200940","","","","67799","","","","","188710","","","","188711","","","","","","241192","","","","","501497","","","","",""
"1795632","241192","species","Thermodesulfatator autotrophicus","1","131567","2","","","","","","200940","","","","67799","","","","","188710","","","","188711","","","","","","241192","","","","","1795632","","","","",""
"171695","241192","species","Thermodesulfatator indicus","1","131567","2","","","","","","200940","","","","67799","","","","","188710","","","","188711","","","","","","241192","","","","","171695","","","","",""
"1741","1740","species","Thermodesulfobacterium commune","1","131567","2","","","","","","200940","","","","67799","","","","","188710","","","","188711","","","","","","1740","","","","","1741","","","","",""
"1295609","1740","species","Thermodesulfobacterium geofontis","1","131567","2","","","","","","200940","","","","67799","","","","","188710","","","","188711","","","","","","1740","","","","","1295609","","","","",""
"86166","28261","species","Thermodesulfovibrio aggregans","1","131567","2","","","","","","40117","","","","203693","","","","","189778","","","","189779","","","","","","28261","","","","","86166","","","","",""
"340095","28261","species","Thermodesulfovibrio thiophilus","1","131567","2","","","","","","40117","","","","203693","","","","","189778","","","","189779","","","","","","28261","","","","","340095","","","","",""
